Versietype,Begrip,Context,Juridische context,Wettelijke basis,Definitie,Definitie_origineel,Definitie_gecorrigeerd,Voorbeeld_zinnen,Praktijkvoorbeelden,Toelichting,Synoniemen,Antoniemen,Vrije input,Expert-review,Datum,Voorsteller,Ketenpartners,Timestamp,Definitie_aangepast,Regel 1,Regel 2,Regel 3,Regel 4,Regel 5,Regel 6,Regel 7,Regel 8,Regel 9,Regel 10,Regel 11,Regel 12,Regel 13,Regel 14,Regel 15,Regel 16,Regel 17,Regel 18,Regel 19,Regel 20,Regel 21,Regel 22,Regel 23,Regel 24,Regel 25,Regel 26,Regel 27,Regel 28,Regel 29,Regel 30,Regel 31,Regel 32,Regel 33,Regel 34,Regel 35,Regel 36,Regel 37,Regel 38,Regel 39,Regel 40,Regel 41,Regel 42,Regel 43,Regel 44,Regel 45
Aangepast,,,,,,,,,,,,,,,2025-07-03,,,2025-07-03T11:36:21.119430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aangepast,identiteitsvaststelling,,,,,,,,,,,,,,2025-07-03,,,2025-07-03T11:36:29.720307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aangepast,identiteitsvaststelling,KMAR,,,,,,,,,,,,,2025-07-03,,,2025-07-03T11:36:32.032197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aangepast,identiteitsvaststelling,KMAR,Strafrecht,,,,,,,,,,,,2025-07-03,,,2025-07-03T11:36:33.308121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aangepast,identiteitsvaststelling,KMAR,Strafrecht,Wetboek van Strafvordering,,,,,,,,,,,2025-07-03,,,2025-07-03T11:36:34.796536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aangepast,identiteitsvaststelling,KMAR,Strafrecht,Wetboek van Strafvordering,,,,,,,,,,,2025-07-03,,,2025-07-03T11:36:37.057641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI,identiteitsvaststelling,KMAR,Strafrecht,Wetboek van Strafvordering,,Identiteitsvaststelling is een activiteit waarbij de unieke persoonlijke gegevens van een individu worden geverifieerd om zijn of haar identiteit ondubbelzinnig vast te stellen.,Activiteit waarbij de unieke persoonlijke gegevens van een individu worden geverifieerd om zijn of haar identiteit ondubbelzinnig vast te stellen.,"['""Bij de grenscontrole voerde de KMAR een grondige identiteitsvaststelling uit om te verifiëren of de reiziger inderdaad de persoon was zoals vermeld op het paspoort.""', '""In het strafrecht is een nauwkeurige identiteitsvaststelling van de verdachte essentieel om ervoor te zorgen dat de juiste persoon wordt vervolgd.""', '""Volgens het Wetboek van Strafvordering is identiteitsvaststelling verplicht om de identiteit van een verdachte onomstotelijk vast te stellen.""']","Voorbeeld 1:
Een medewerker van de Koninklijke Marechaussee (KMAR) houdt op Schiphol een individu aan die verdacht wordt van drugssmokkel. Volgens het Wetboek van Strafvordering heeft de KMAR het recht om de identiteit van dit individu te controleren. De KMAR-medewerker vraagt de verdachte om zijn paspoort om zijn identiteit vast te stellen. De unieke persoonlijke gegevens (naam, geboortedatum, nationaliteit en foto) in het paspoort worden vergeleken met de fysieke verschijning van de verdachte en de informatie in de politiedatabase.

Voorbeeld 2:
Een patrouille van de Koninklijke Marechaussee houdt een voertuig aan bij een grenscontrole op de A12 bij de Duitse grens. De bestuurder wordt verdacht van mensensmokkel, een strafbaar feit volgens het Strafrecht. Om de identiteit van de bestuurder ondubbelzinnig vast te stellen, vraagt de KMAR-medewerker om zijn rijbewijs. De unieke persoonlijke gegevens (naam, geboortedatum, foto) op het rijbewijs worden gecontroleerd en vergeleken met de bestuurder en de informatie in de politiedatabase.

Voorbeeld 3:
In het kader van een strafrechtelijk onderzoek naar fraude, voert de Koninklijke Marechaussee een huiszoeking uit bij een verdachte. Volgens het Wetboek van Strafvordering is de KMAR bevoegd om de identiteit van de verdachte te controleren. De KMAR-medewerker vraagt de verdachte om zijn identiteitskaart. De unieke persoonlijke gegevens (naam, geboortedatum, nationaliteit en foto) op de identiteitskaart worden gecontroleerd en vergeleken met de verdachte en de informatie in de politiedatabase.","'Identiteitsvaststelling' verwijst naar het proces waarbij de identiteit van een persoon wordt vastgesteld, meestal door middel van officiële documenten zoals een paspoort of identiteitskaart. In een overheidscontext kan dit bijvoorbeeld nodig zijn om te verifiëren dat een persoon is wie hij of zij beweert te zijn, bijvoorbeeld bij de aanvraag van overheidsdiensten of bij de uitvoering van wetshandhavingstaken.

In de context van het strafrecht kan de identiteitsvaststelling bijvoorbeeld worden gebruikt om de identiteit van een verdachte of getuige vast te stellen. Dit kan belangrijk zijn voor het verzamelen van bewijs en het uitvoeren van het strafproces.

De wettelijke basis voor identiteitsvaststelling in Nederland is onder andere te vinden in het Wetboek van Strafvordering. Hierin zijn de procedures en vereisten voor identiteitsvaststelling door de politie en andere wetshandhavingsinstanties vastgelegd. Dit kan bijvoorbeeld inhouden dat een persoon verplicht is om een identiteitsbewijs te tonen wanneer daarom wordt gevraagd door een bevoegde autoriteit.","1. Identificatie
2. Persoonsverificatie
3. Identiteitscontrole
4. Persoonsidentificatie
5. Identiteitsverificatie","1. Identiteitsverhulling
2. Anonimisering
3. Identiteitsvermenging
4. Identiteitsontkenning
5. Identiteitsvervalsing",,,2025-07-03,,,2025-07-03T11:37:58.754942,,"🟡 CON-01: bredere contexttaal herkend (om), formulering mogelijk vaag","❌ CON-02: bronvermelding gevonden (Identiteitsvaststelling is een proces waarbij de identiteit van een persoon wordt bevestigd door het verifiëren van persoonlijke gegevens. In de context van de Koninklijke Marechaussee (KMAR) en het strafrecht, is dit proces van cruciaal belang voor het handhaven van de wet en het waarborgen van de veiligheid.

De definitie van identiteitsvaststelling is gebaseerd op de volgende bronnen:

1. Wetboek van Strafvordering: In het Wetboek van Strafvordering zijn bepalingen opgenomen over de identiteitsvaststelling van verdachten en getuigen. Artikel 27a van het Wetboek van Strafvordering stelt dat een verdachte verplicht is om op verzoek van een opsporingsambtenaar zijn naam, geboortedatum, geboorteplaats en woonplaats te geven. Dit is de basis voor de identiteitsvaststelling in de strafrechtelijke context.

2. Richtlijnen van de KMAR: De KMAR heeft eigen procedures en richtlijnen voor identiteitsvaststelling. Deze zijn gebaseerd op nationale wetgeving en internationale normen en praktijken. De KMAR gebruikt verschillende methoden voor identiteitsvaststelling, waaronder het controleren van identiteitsdocumenten en biometrische gegevens.

3. Algemene wet op het binnentreden (Awbi): Deze wet geeft de politie en andere bevoegde instanties het recht om een woning of andere plaats te betreden voor de uitvoering van hun taken, waaronder identiteitsvaststelling. De wet stelt specifieke eisen aan de manier waarop dit moet gebeuren.

4. Wet op de identificatieplicht: Deze wet verplicht iedereen vanaf 14 jaar om een geldig identiteitsbewijs te kunnen tonen als daar om gevraagd wordt door bevoegde instanties. Dit is een belangrijk instrument voor de identiteitsvaststelling.

5. Veelgebruikte definities: In de literatuur en in de praktijk wordt identiteitsvaststelling vaak gedefinieerd als het proces van het verifiëren van de identiteit van een persoon door het controleren van persoonlijke gegevens en/of documenten.), maar niet herkend als authentiek of specifiek",✔️ ESS-01: geen doelgerichte formuleringen aangetroffen,✔️ ESS-02: eenduidig als proces gedefinieerd (\b(proces|activiteit|handeling|gebeurtenis)\b),✔️ ESS-03: unieke identificatiecriteria herkend (unieke),❌ ESS-04: geen toetsbare elementen gevonden; definitie bevat geen harde criteria voor objectieve toetsing,❌ ESS-05: geen onderscheidende elementen gevonden; definitie maakt niet duidelijk waarin het begrip zich onderscheidt,"❌ INT-01: complexe elementen gevonden (of, waarbij), maar geen expliciet fout voorbeeld herkend",✔️ INT-02: geen beslisregels of voorwaardelijke formuleringen aangetroffen,❌ INT-03: onduidelijke voornaamwoord-verwijzingen aangetroffen (waarbij); antecedent niet expliciet gemaakt,✔️ INT-04: geen onduidelijke lidwoord-verwijzingen aangetroffen,✔️ INT-06: geen toelichtende elementen in de definitie gevonden,✔️ INT-07: geen afkortingen in de definitie,✅ INT-08: definitie bevat geen negatieve formuleringen,✅ INT-09: geen ongewenste opsommingswoorden gevonden,✅ INT-10: geen ontoegankelijke of impliciete achtergrondverwijzingen gevonden,✔️ SAM-01: geen afwijkende kwalificaties aangetroffen in de definitie,✔️ SAM-02: geen overbodige herhaling van het hoofdbegrip in de definitie,✔️ SAM-03: geen geneste of verweven definities aangetroffen,✔️ SAM-04: genus (‘’) sluit aan op compositie (‘activiteitwaarbijdeuniekepersoonlijkegegevensvaneenindividuwordengeverifieerdomzijnofhaaridentiteitondubbelzinnigvasttestellen.’),✔️ SAM-05: geen cirkeldefinitie herkend,❌ SAM-06: geen voorkeurs-term opgegeven,✔️ SAM-07: geen uitbreidende elementen herkend,✔️ SAM-08: geen synoniemverwijzing herkend – mogelijk correct toegepast,✔️ STR-01: geen werkwoordelijke start herkend – mogelijk goed geformuleerd,✔️ STR-02: geen herhaling van term herkend – mogelijk correct geformuleerd,✔️ STR-03: geen synonieme formulering gevonden,✔️ STR-04: geen algemene kick-off zonder toespitsing,✔️ STR-05: geen constructie-elementen gevonden,✔️ STR-06: geen formuleringen die informatiebehoefte suggereren,✔️ STR-07: geen dubbele ontkenning aangetroffen,✔️ STR-08: geen dubbelzinnige 'en'-constructies aangetroffen,"❌ STR-09: dubbelzinnige 'of' gevonden (of, zijn of haar), context verduidelijken",✔️ VER-01: term is enkelvoudig,⚠️ VER-02: fout bij uitvoeren toetsfunctie – toets_VER_02() missing 1 required positional argument: 'term',❌ VER-03: term 'Activiteit waarbij de unieke persoonlijke gegevens van een individu worden geverifieerd om zijn of haar identiteit ondubbelzinnig vast te stellen.' lijkt niet in infinitief te staan,"❌ ARAI01: werkwoord(en) als kern gevonden (zijn), geen toelichting herkend","❌ ARAI02: containerbegrippen zonder specificatie gevonden (Activiteit), onvoldoende concreet",✔️ ARAI02SUB1: geen containerbegrippen aangetroffen,"❌ ARAI02SUB2: containerbegrippen gevonden (Activiteit), onvoldoende specifiek",✔️ ARAI03: geen subjectieve bijvoeglijke naamwoorden aangetroffen,✔️ ARAI04: geen modale hulpwerkwoorden aangetroffen,✔️ ARAI04SUB1: geen modale werkwoorden aangetroffen in de definitie,✔️ ARAI05: geen impliciete aannames aangetroffen,⚠️ ARAI06: fout bij uitvoeren toetsfunctie – toets_ARAI06() got multiple values for argument 'begrip'
Aangepast,identiteitsvaststelling,KMAR,Strafrecht,Wetboek van Strafvordering,,Identiteitsvaststelling is een activiteit waarbij de unieke persoonlijke gegevens van een individu worden geverifieerd om zijn of haar identiteit ondubbelzinnig vast te stellen.,Activiteit waarbij de unieke persoonlijke gegevens van een individu worden geverifieerd om zijn of haar identiteit ondubbelzinnig vast te stellen.,"['""Bij de grenscontrole voerde de KMAR een grondige identiteitsvaststelling uit om te verifiëren of de reiziger inderdaad de persoon was zoals vermeld op het paspoort.""', '""In het strafrecht is een nauwkeurige identiteitsvaststelling van de verdachte essentieel om ervoor te zorgen dat de juiste persoon wordt vervolgd.""', '""Volgens het Wetboek van Strafvordering is identiteitsvaststelling verplicht om de identiteit van een verdachte onomstotelijk vast te stellen.""']","Voorbeeld 1:
Een medewerker van de Koninklijke Marechaussee (KMAR) houdt op Schiphol een individu aan die verdacht wordt van drugssmokkel. Volgens het Wetboek van Strafvordering heeft de KMAR het recht om de identiteit van dit individu te controleren. De KMAR-medewerker vraagt de verdachte om zijn paspoort om zijn identiteit vast te stellen. De unieke persoonlijke gegevens (naam, geboortedatum, nationaliteit en foto) in het paspoort worden vergeleken met de fysieke verschijning van de verdachte en de informatie in de politiedatabase.

Voorbeeld 2:
Een patrouille van de Koninklijke Marechaussee houdt een voertuig aan bij een grenscontrole op de A12 bij de Duitse grens. De bestuurder wordt verdacht van mensensmokkel, een strafbaar feit volgens het Strafrecht. Om de identiteit van de bestuurder ondubbelzinnig vast te stellen, vraagt de KMAR-medewerker om zijn rijbewijs. De unieke persoonlijke gegevens (naam, geboortedatum, foto) op het rijbewijs worden gecontroleerd en vergeleken met de bestuurder en de informatie in de politiedatabase.

Voorbeeld 3:
In het kader van een strafrechtelijk onderzoek naar fraude, voert de Koninklijke Marechaussee een huiszoeking uit bij een verdachte. Volgens het Wetboek van Strafvordering is de KMAR bevoegd om de identiteit van de verdachte te controleren. De KMAR-medewerker vraagt de verdachte om zijn identiteitskaart. De unieke persoonlijke gegevens (naam, geboortedatum, nationaliteit en foto) op de identiteitskaart worden gecontroleerd en vergeleken met de verdachte en de informatie in de politiedatabase.","'Identiteitsvaststelling' verwijst naar het proces waarbij de identiteit van een persoon wordt vastgesteld, meestal door middel van officiële documenten zoals een paspoort of identiteitskaart. In een overheidscontext kan dit bijvoorbeeld nodig zijn om te verifiëren dat een persoon is wie hij of zij beweert te zijn, bijvoorbeeld bij de aanvraag van overheidsdiensten of bij de uitvoering van wetshandhavingstaken.

In de context van het strafrecht kan de identiteitsvaststelling bijvoorbeeld worden gebruikt om de identiteit van een verdachte of getuige vast te stellen. Dit kan belangrijk zijn voor het verzamelen van bewijs en het uitvoeren van het strafproces.

De wettelijke basis voor identiteitsvaststelling in Nederland is onder andere te vinden in het Wetboek van Strafvordering. Hierin zijn de procedures en vereisten voor identiteitsvaststelling door de politie en andere wetshandhavingsinstanties vastgelegd. Dit kan bijvoorbeeld inhouden dat een persoon verplicht is om een identiteitsbewijs te tonen wanneer daarom wordt gevraagd door een bevoegde autoriteit.","1. Identificatie
2. Persoonsverificatie
3. Identiteitscontrole
4. Persoonsidentificatie
5. Identiteitsverificatie","1. Identiteitsverhulling
2. Anonimisering
3. Identiteitsvermenging
4. Identiteitsontkenning
5. Identiteitsvervalsing",,,2025-07-03,,,2025-07-03T11:37:58.773697,Identiteitsvaststelling is een activiteit waarbij de unieke persoonlijke gegevens van een individu worden geverifieerd om zijn of haar identiteit ondubbelzinnig vast te stellen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aangepast,identiteitsvaststelling,KMAR,Strafrecht,Wetboek van Strafvordering,,Identiteitsvaststelling is een activiteit waarbij de unieke persoonlijke gegevens van een individu worden geverifieerd om zijn of haar identiteit ondubbelzinnig vast te stellen.,Activiteit waarbij de unieke persoonlijke gegevens van een individu worden geverifieerd om zijn of haar identiteit ondubbelzinnig vast te stellen.,"['""Bij de grenscontrole voerde de KMAR een grondige identiteitsvaststelling uit om te verifiëren of de reiziger inderdaad de persoon was zoals vermeld op het paspoort.""', '""In het strafrecht is een nauwkeurige identiteitsvaststelling van de verdachte essentieel om ervoor te zorgen dat de juiste persoon wordt vervolgd.""', '""Volgens het Wetboek van Strafvordering is identiteitsvaststelling verplicht om de identiteit van een verdachte onomstotelijk vast te stellen.""']","Voorbeeld 1:
Een medewerker van de Koninklijke Marechaussee (KMAR) houdt op Schiphol een individu aan die verdacht wordt van drugssmokkel. Volgens het Wetboek van Strafvordering heeft de KMAR het recht om de identiteit van dit individu te controleren. De KMAR-medewerker vraagt de verdachte om zijn paspoort om zijn identiteit vast te stellen. De unieke persoonlijke gegevens (naam, geboortedatum, nationaliteit en foto) in het paspoort worden vergeleken met de fysieke verschijning van de verdachte en de informatie in de politiedatabase.

Voorbeeld 2:
Een patrouille van de Koninklijke Marechaussee houdt een voertuig aan bij een grenscontrole op de A12 bij de Duitse grens. De bestuurder wordt verdacht van mensensmokkel, een strafbaar feit volgens het Strafrecht. Om de identiteit van de bestuurder ondubbelzinnig vast te stellen, vraagt de KMAR-medewerker om zijn rijbewijs. De unieke persoonlijke gegevens (naam, geboortedatum, foto) op het rijbewijs worden gecontroleerd en vergeleken met de bestuurder en de informatie in de politiedatabase.

Voorbeeld 3:
In het kader van een strafrechtelijk onderzoek naar fraude, voert de Koninklijke Marechaussee een huiszoeking uit bij een verdachte. Volgens het Wetboek van Strafvordering is de KMAR bevoegd om de identiteit van de verdachte te controleren. De KMAR-medewerker vraagt de verdachte om zijn identiteitskaart. De unieke persoonlijke gegevens (naam, geboortedatum, nationaliteit en foto) op de identiteitskaart worden gecontroleerd en vergeleken met de verdachte en de informatie in de politiedatabase.","'Identiteitsvaststelling' verwijst naar het proces waarbij de identiteit van een persoon wordt vastgesteld, meestal door middel van officiële documenten zoals een paspoort of identiteitskaart. In een overheidscontext kan dit bijvoorbeeld nodig zijn om te verifiëren dat een persoon is wie hij of zij beweert te zijn, bijvoorbeeld bij de aanvraag van overheidsdiensten of bij de uitvoering van wetshandhavingstaken.

In de context van het strafrecht kan de identiteitsvaststelling bijvoorbeeld worden gebruikt om de identiteit van een verdachte of getuige vast te stellen. Dit kan belangrijk zijn voor het verzamelen van bewijs en het uitvoeren van het strafproces.

De wettelijke basis voor identiteitsvaststelling in Nederland is onder andere te vinden in het Wetboek van Strafvordering. Hierin zijn de procedures en vereisten voor identiteitsvaststelling door de politie en andere wetshandhavingsinstanties vastgelegd. Dit kan bijvoorbeeld inhouden dat een persoon verplicht is om een identiteitsbewijs te tonen wanneer daarom wordt gevraagd door een bevoegde autoriteit.","1. Identificatie
2. Persoonsverificatie
3. Identiteitscontrole
4. Persoonsidentificatie
5. Identiteitsverificatie","1. Identiteitsverhulling
2. Anonimisering
3. Identiteitsvermenging
4. Identiteitsontkenning
5. Identiteitsvervalsing",,,2025-07-03,,,2025-07-03T11:42:20.782771,Identiteitsvaststelling is een activiteit waarbij de unieke persoonlijke gegevens van een individu worden geverifieerd om zijn of haar identiteit ondubbelzinnig vast te stellen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aangepast,,,,,,,,,,,,,,,2025-07-03,,,2025-07-03T11:55:57.681867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
